Susu kedele,1,41,3.5,2.5,5,Sajikan
Tahu,1,68,7.8,4.6,1.6,Sajikan
Tempe gembus,1,73,5.7,1.3,10.3,Sajikan
Ayam,1,302,18.2,25,0,Sajikan
Bebek ( itik ),1,326,16,28.6,0,Sajikan
Daging domba,1,206,17.1,14.8,0,Sajikan
Daging kambing,1,154,16.6,9.2,0,Sajikan
Daging asap,1,191,32,6,0,Sajikan
Daging kornet  ( corned beef ),1,241,16,25,0,Sajikan
Dendeng daging sapi,1,433,55,9,0,Sajikan
Sosis daging ( wosrt ),1,452,14.5,42.3,2.3,Sajikan
Telur ayam,1,162,12.8,11.5,0.7,Sajikan
Telur bebek (DKBM P3G '90),1,202,12.5,16.4,0,Sajikan
Telur bebek diasin,1,195,13.6,13.6,1.4,Sajikan
Bandeng,1,129,20,4.8,0,Sajikan
Bawal,1,96,19,1.7,0,Sajikan
Belut air tawar,1,82,6.7,1,10.9,Sajikan
Cumi-cumi,1,75,16.1,0.7,0.1,Sajikan
Ikan mas,1,86,16,2,0,Sajikan
Ikan mujair segar,1,89,18.7,1,0,Sajikan
Kacangan,1,77,15.6,0.9,1.6,Sajikan
Kakap,1,92,20,0.7,0,Sajikan
Kembung,1,103,22,1,0,Sajikan
Kepiting,1,151,13.8,3.8,14.1,Sajikan
Kerang,1,101,14.4,2.6,3.9,Sajikan
Mujahir,1,89,18.7,1,0,Sajikan
"Paling, belut",1,303,14,27,0,Sajikan
Sidat,1,81,11.4,1.9,3.8,Sajikan
Teri segar,1,77,16,1,0,Sajikan
Udang segar,1,91,21,0.2,0.1,Sajikan
Cakalang asin,1,198,36.5,2.2,5.5,Sajikan
Calo . peda,1,81,11.4,1.9,3.8,Sajikan
Dendeng ikan mujair,1,582,68.3,15.2,37.2,Sajikan
Ikan asin kering,1,193,42,1.5,0,Sajikan
"Kerupuk ikan, dengan pati",1,342,16,0.4,65.6,Sajikan
"Kerupuk udang, dengan pati",1,359,17.2,0.6,68.2,Sajikan
Petis ikan,1,161,20,0.2,24,Sajikan
Petis udang,1,220,15,0.1,40,Sajikan
Sardencis dalam kaleng,1,338,21.1,27,1,Sajikan
Sepat kering,1,289,38,14,0,Sajikan
Telur ikan,1,398,16.7,34.8,4.5,Sajikan
Teri bubuk,1,277,60,2.3,1.8,Sajikan
Teri kering,1,170,33.4,3,0,Sajikan
Teri nasi kering,1,144,32.5,0.6,0,Sajikan
Teri tepung,1,347,48.8,6.4,19.6,Sajikan
Udang kering,1,259,62.4,2.3,1.8,Sajikan
Bayam,1,36,3.5,0.5,6.5,Sajikan
Bayam merah,1,51,4.6,0.5,10,Sajikan
Bunga pepaya jantan,1,45,2.6,0.3,8.1,Sajikan
